Data Set (Source)	Data Set (Sink)	Linker	Distance Method	Distance Threshold	Time taken	Memory used	Setup comparisons	Total comparisons	Number of links	Number of matches	True Positives	False Positives	False Negatives	Min links quality	Max links quality	Average links quality	Min pairs quality	Max pairs quality	Average pairs quality	Min pairs completeness	Max pairs completeness	Average pairs completeness	Precision	Recall	F1 Measure	Shingle size	Number of bands	Band size	Blocking Method	Branching factor
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	10.00	110044	431060512	0	1677025	2633	18479	2624	9	15855	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.14	0.25	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	11.00	107414	396001304	0	1677025	2759	18479	2750	9	15729	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.15	0.26	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	12.00	110487	414272536	0	1677025	2842	18479	2833	9	15646	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.15	0.27	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	13.00	107133	414287656	0	1677025	2941	18479	2932	9	15547	0.00	0.02	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.16	0.27	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	14.00	103439	396095280	0	1677025	3076	18479	3067	9	15412	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.17	0.28	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	15.00	105543	434203360	0	1677025	3201	18479	3192	9	15287	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.17	0.29	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	16.00	112923	432231400	0	1677025	3311	18479	3302	9	15177	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.18	0.30	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	17.00	109410	433070576	0	1677025	3454	18479	3445	9	15034	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.19	0.31	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	18.00	102335	413843920	0	1677025	3587	18479	3578	9	14901	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.19	0.32	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	19.00	104494	431350272	0	1677025	3765	18479	3754	11	14725	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.20	0.34	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	20.00	106444	413940936	0	1677025	3928	18479	3916	12	14563	0.00	0.03	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.21	0.35	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	21.00	107614	432086384	0	1677025	4148	18479	4135	13	14344	0.00	0.04	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.22	0.37	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	22.00	108946	415163072	0	1677025	4250	18479	4237	13	14242	0.00	0.04	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.23	0.37	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	23.00	110512	432815648	0	1677025	4426	18479	4412	14	14067	0.00	0.04	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.24	0.39	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	24.00	107801	396503896	0	1677025	4584	18479	4569	15	13910	0.00	0.04	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.25	0.40	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	25.00	107394	432909112	0	1677025	4741	18479	4726	15	13753	0.00	0.04	0.00	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.26	0.41	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	26.00	105613	432937888	0	1677025	4902	18479	4886	16	13593	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.26	0.42	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	27.00	108702	434139000	0	1677025	5075	18479	5058	17	13421	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.27	0.43	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	28.00	107758	468693360	0	1677025	5260	18479	5241	19	13238	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.28	0.44	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	29.00	110067	414672712	0	1677025	5392	18479	5369	23	13110	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.29	0.45	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	30.00	109619	433143136	0	1677025	5598	18479	5574	24	12905	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.30	0.46	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	31.00	106539	433173840	0	1677025	5727	18479	5703	24	12776	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.31	0.47	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	32.00	105617	433206968	0	1677025	5821	18479	5794	27	12685	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.31	0.48	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	33.00	109357	433236976	0	1677025	5969	18479	5941	28	12538	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	1.00	0.32	0.49	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	34.00	106941	432981736	0	1677025	6137	18479	6106	31	12373	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.33	0.50	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	35.00	107491	415270160	0	1677025	6296	18479	6263	33	12216	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.34	0.51	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	36.00	107380	433315040	0	1677025	6465	18479	6420	45	12059	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.35	0.51	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	37.00	102615	435408984	0	1677025	6597	18479	6549	48	11930	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.35	0.52	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	38.00	105983	415436528	0	1677025	6753	18479	6701	52	11778	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.36	0.53	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	39.00	110175	434761152	0	1677025	6899	18479	6837	62	11642	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.37	0.54	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	40.00	108989	434826696	0	1677025	7029	18479	6959	70	11520	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.38	0.55	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	41.00	103515	397393520	0	1677025	7178	18479	7096	82	11383	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.38	0.55	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	42.00	105486	434866064	0	1677025	7302	18479	7204	98	11275	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.39	0.56	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	43.00	110656	433728648	0	1677025	7427	18479	7317	110	11162	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.99	0.40	0.56	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	44.00	103535	433711936	0	1677025	7550	18479	7436	114	11043	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.40	0.57	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	45.00	102529	435021224	0	1677025	7692	18479	7561	131	10918	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.41	0.58	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	46.00	106809	415798600	0	1677025	7821	18479	7671	150	10808	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.42	0.58	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	47.00	107914	415871584	0	1677025	7937	18479	7782	155	10697	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.42	0.59	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	48.00	99611	415654664	0	1677025	8082	18479	7919	163	10560	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.43	0.60	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	49.00	108590	433933816	0	1677025	8202	18479	8028	174	10451	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.43	0.60	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	50.00	106844	416020808	0	1677025	8335	18479	8142	193	10337	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.98	0.44	0.61	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	51.00	107270	415496376	0	1677025	8477	18479	8257	220	10222	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.97	0.45	0.61	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	52.00	109196	434224816	0	1677025	8639	18479	8390	249	10089	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.97	0.45	0.62	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	53.00	108373	416135232	0	1677025	8790	18479	8518	272	9961	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.97	0.46	0.62	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	54.00	105229	433122680	0	1677025	8942	18479	8630	312	9849	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.97	0.47	0.63	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	55.00	102034	416316528	0	1677025	9111	18479	8752	359	9727	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.96	0.47	0.63	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	56.00	110376	434455480	0	1677025	9259	18479	8847	412	9632	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.96	0.48	0.64	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	57.00	107753	433146952	0	1677025	9465	18479	8998	467	9481	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.95	0.49	0.64	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	58.00	107374	434580992	0	1677025	9615	18479	9109	506	9370	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.95	0.49	0.65	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	59.00	107808	416564400	0	1677025	9766	18479	9186	580	9293	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.94	0.50	0.65	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	60.00	104506	415987832	0	1677025	9947	18479	9292	655	9187	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.93	0.50	0.65	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	61.00	105470	434781384	0	1677025	10202	18479	9420	782	9059	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.92	0.51	0.66	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	62.00	107327	435644072	0	1677025	10451	18479	9568	883	8911	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.92	0.52	0.66	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	63.00	110668	471307904	0	1677025	10674	18479	9703	971	8776	0.00	0.04	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.91	0.53	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	64.00	107416	416711600	0	1677025	10875	18479	9807	1068	8672	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.90	0.53	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	65.00	107931	437524264	0	1677025	11081	18479	9904	1177	8575	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.89	0.54	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	66.00	107229	435239160	0	1677025	11341	18479	10009	1332	8470	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.88	0.54	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	67.00	100469	435945056	0	1677025	11617	18479	10129	1488	8350	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.87	0.55	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	68.00	110651	435443760	0	1677025	11868	18479	10241	1627	8238	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.86	0.55	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	69.00	105852	436102320	0	1677025	12189	18479	10383	1806	8096	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.85	0.56	0.68	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	70.00	109346	436204928	0	1677025	12474	18479	10488	1986	7991	0.00	0.05	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.84	0.57	0.68	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	71.00	109461	435721256	0	1677025	12782	18479	10621	2161	7858	0.00	0.06	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.83	0.57	0.68	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	72.00	104927	418053224	0	1677025	13090	18479	10720	2370	7759	0.00	0.06	0.01	0.00	0.05	0.02	0.33	0.33	0.33	0.82	0.58	0.68	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	73.00	105184	435988016	0	1677025	13514	18479	10848	2666	7631	0.00	0.06	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.80	0.59	0.68	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	74.00	106040	436725272	0	1677025	14015	18479	10989	3026	7490	0.00	0.06	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.78	0.59	0.68	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	75.00	104510	429509696	0	1677025	14533	18479	11122	3411	7357	0.00	0.07	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.77	0.60	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	76.00	104448	437209208	0	1677025	15044	18479	11225	3819	7254	0.00	0.08	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.75	0.61	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	77.00	107949	437377376	0	1677025	15541	18479	11321	4220	7158	0.00	0.08	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.73	0.61	0.67	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	78.00	106444	437008176	0	1677025	16059	18479	11433	4626	7046	0.00	0.09	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.71	0.62	0.66	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	79.00	103504	436578584	0	1677025	16596	18479	11555	5041	6924	0.00	0.09	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.70	0.63	0.66	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	80.00	107111	438628712	0	1677025	17184	18479	11681	5503	6798	0.00	0.09	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.68	0.63	0.66	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	81.00	104921	437604384	0	1677025	17821	18479	11783	6038	6696	0.00	0.10	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.66	0.64	0.65	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	82.00	100125	438255112	0	1677025	18529	18479	11905	6624	6574	0.00	0.10	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.64	0.64	0.64	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	83.00	104522	438791352	0	1677025	19325	18479	12013	7312	6466	0.00	0.10	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.62	0.65	0.64	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	84.00	110539	439707168	0	1677025	20067	18479	12115	7952	6364	0.00	0.11	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.60	0.66	0.63	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	85.00	108777	439748368	0	1677025	20972	18479	12237	8735	6242	0.00	0.11	0.02	0.00	0.05	0.02	0.33	0.33	0.33	0.58	0.66	0.62	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	86.00	109256	439676016	0	1677025	21918	18479	12329	9589	6150	0.00	0.12	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.56	0.67	0.61	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	87.00	109189	439500976	0	1677025	22947	18479	12428	10519	6051	0.00	0.12	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.54	0.67	0.60	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	88.00	109161	440729688	0	1677025	23881	18479	12549	11332	5930	0.00	0.13	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.53	0.68	0.59	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	89.00	105788	478651880	0	1677025	24883	18479	12643	12240	5836	0.00	0.14	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.51	0.68	0.58	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	90.00	107137	441179336	0	1677025	26026	18479	12761	13265	5718	0.00	0.15	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.49	0.69	0.57	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	91.00	110503	479472488	0	1677025	27198	18479	12851	14347	5628	0.00	0.15	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.47	0.70	0.56	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	92.00	106390	442760216	0	1677025	28318	18479	12934	15384	5545	0.00	0.16	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.46	0.70	0.55	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	93.00	107150	463415792	0	1677025	29547	18479	13013	16534	5466	0.00	0.17	0.03	0.00	0.05	0.02	0.33	0.33	0.33	0.44	0.70	0.54	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	94.00	105685	480153760	0	1677025	30724	18479	13086	17638	5393	0.00	0.17	0.04	0.00	0.05	0.02	0.33	0.33	0.33	0.43	0.71	0.53	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	95.00	108983	445327192	0	1677025	31990	18479	13171	18819	5308	0.00	0.18	0.04	0.00	0.05	0.02	0.33	0.33	0.33	0.41	0.71	0.52	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	96.00	107065	462574136	0	1677025	33361	18479	13271	20090	5208	0.00	0.19	0.04	0.00	0.05	0.02	0.33	0.33	0.33	0.40	0.72	0.51	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	97.00	116613	445182384	0	1677025	34987	18479	13368	21619	5111	0.00	0.20	0.04	0.00	0.05	0.02	0.33	0.33	0.33	0.38	0.72	0.50	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	98.00	106940	482194376	0	1677025	36568	18479	13473	23095	5006	0.00	0.20	0.04	0.00	0.05	0.02	0.33	0.33	0.33	0.37	0.73	0.49	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	99.00	105444	483340624	0	1677025	38022	18479	13576	24446	4903	0.00	0.21	0.04	0.00	0.05	0.02	0.33	0.33	0.33	0.36	0.73	0.48	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	100.00	107859	518572848	0	1677025	39616	18479	13667	25949	4812	0.00	0.21	0.05	0.00	0.05	0.02	0.33	0.33	0.33	0.34	0.74	0.47	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	101.00	106726	485990544	0	1677025	41225	18479	13776	27449	4703	0.00	0.22	0.05	0.00	0.05	0.02	0.33	0.33	0.33	0.33	0.75	0.46	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	102.00	109838	485205760	0	1677025	43050	18479	13867	29183	4612	0.00	0.23	0.05	0.00	0.05	0.02	0.33	0.33	0.33	0.32	0.75	0.45	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	103.00	107966	467970304	0	1677025	44852	18479	13958	30894	4521	0.00	0.24	0.05	0.00	0.05	0.02	0.33	0.33	0.33	0.31	0.76	0.44	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	104.00	106623	486510976	0	1677025	46859	18479	14052	32807	4427	0.00	0.25	0.06	0.00	0.05	0.02	0.33	0.33	0.33	0.30	0.76	0.43	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	105.00	112596	522637616	0	1677025	48814	18479	14116	34698	4363	0.00	0.26	0.06	0.00	0.05	0.02	0.33	0.33	0.33	0.29	0.76	0.42	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	106.00	107610	470142328	0	1677025	50808	18479	14173	36635	4306	0.00	0.27	0.06	0.00	0.05	0.02	0.33	0.33	0.33	0.28	0.77	0.41	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	107.00	109561	488844864	0	1677025	53031	18479	14260	38771	4219	0.00	0.28	0.06	0.00	0.05	0.02	0.33	0.33	0.33	0.27	0.77	0.40	NA	NA	NA	NA	NA
Cora	Cora	Brute Force	Generic-Sigma-Levenshtein	108.00	109296	491335488	0	1677025	55272	18479	14322	40950	4157	0.00	0.29	0.07	0.00	0.05	0.02	0.33	0.33	0.33	0.26	0.78	0.39	NA	NA	NA	NA	NA
